Herman ASI-24 (L);Pistol;BLP;30.0;55;51;32.5;1.329;1200;13.329;120.00;159.00%;2.868;56.2;Yes;Crafted, Looted; 
Herman ASI-27 Arctic (L);Pistol;BLP;35.0;63;47;34.3;1.300;1380;15.100;130.00;0;2.900;0;Yes;Crafted; 
Herman ASI-30 Smuggler;Pistol;BLP;33.0;62;54;38.8;1.921;1335;15.271;3000.00;0;2.822;52.8;Yes;Looted; 
Herman ASI-32 Desert (L);Pistol;BLP;35.0;66;51;39.0;1.639;1435;15.989;145.00;120.00%;2.869;56.2;Yes;Crafted, Looted; 
Herman ASI-32 Desert MK.I (L);Pistol;BLP;35.0;66;51;39.0;0;1435;0;145.00;0;0;56.2;Yes;A.N.U.B.I.S.;Skill Gain - BLP Weapons 10%
Herman ASI-33 Arctic (L);Pistol;BLP;30.0;67;51;39.6;1.621;1460;16.221;150.00;0;2.871;56.4;Yes;Crafted, Looted; 
Herman ASI-33 Arctic MK.I (L);Pistol;BLP;30.0;67;51;39.6;0;1460;0;150.00;0;0;56.4;Yes;A.N.U.B.I.S.;Increased Critical Damage 10%
Herman ASI-33 Jungle (L);Pistol;BLP;25.0;58;59;39.6;1.656;1240;14.056;160.00;0;2.868;56.2;Yes;Crafted, Looted; 
Herman ASI-33 Jungle MK.I (L);Pistol;BLP;25.0;58;59;39.6;0;1240;0;160.00;0;0;56.2;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman ASI-37 (L);Pistol;BLP;30.0;71;51;41.9;1.949;1525;17.199;175.00;0;2.869;56.2;Yes;Crafted, Looted; 
Herman ASI-40 Smuggler;Pistol;BLP;33.0;72;56;46.7;2.561;1515;17.711;4800.00;0;2.825;53.1;Yes;Looted; 
Herman ASI-42 Desert (L);Pistol;BLP;35.0;77;51;45.5;2.259;1635;18.609;200.00;0;2.876;56.7;Yes;Crafted, Looted; 
Herman ASI-44 Arctic (L);Pistol;BLP;30.0;79;51;46.7;2.243;1685;19.093;205.00;0;2.876;56.7;Yes;Crafted, Looted; 
Herman ASI-44 Jungle (L);Pistol;BLP;25.0;69;60;48.0;2.277;1440;16.677;215.00;150.00%;2.876;56.7;Yes;Crafted, Looted; 
Herman ASI-48 Desert (L);Pistol;BLP;35.0;83;52;50.0;1.700;1840;20.100;210.00;0;2.870;56.3;Yes;Crafted; 
Herman ASI-50 Smuggler;Pistol;BLP;33.0;91;57;60.1;3.261;1910;22.361;7000.00;0;2.828;53.3;Yes;Looted; 
Herman ASI-53 Desert (L);Pistol;BLP;40.0;90;51;53.2;1.850;1975;21.600;215.00;0;2.896;58.2;Yes;Crafted; 
Herman ASI-58 Desert (L);Pistol;BLP;40.0;92;52;55.4;1.850;2030;22.150;220.00;0;2.887;57.5;Yes;Crafted; 
Herman ASI-63 (L);Pistol;BLP;30.0;90;52;54.2;2.569;1920;21.769;230.00;0;2.873;56.6;Yes;Crafted, Looted; 
Herman ASI-70 Desert (L);Pistol;BLP;35.0;96;52;57.8;2.879;2025;23.129;255.00;0;2.885;57.4;Yes;Crafted, Looted; 
Herman ASI-72 Arctic (L);Pistol;BLP;30.0;98;52;59.0;2.885;2070;23.585;260.00;0;2.888;57.6;Yes;Crafted, Looted; 
Herman ASI-72 Jungle (L);Pistol;BLP;25.0;85;61;60.1;2.899;1760;20.499;270.00;0;2.882;57.2;Yes;Crafted, Looted; 
Herman ASI-R;Pistol;BLP;38.5;5;80;4.6;0.100;115;1.250;4.00;66.00 PED;2.780;49.9;Yes;Old Time Arkadia TT; 
Herman ASI TEN Edition;Pistol;BLP;36.3;76;54;47.5;2.117;1600;18.117;190.00;0;2.915;59.7;Yes;Looted; 
Herman ASI Trainer (L);Pistol;BLP;30.0;2;48;1.1;0;16;0;1.50;0;0;53.9;Yes;Mission; 
Herman ASI Trainer MkI (L);Pistol;BLP;30.0;2;48;1.1;0.266;20;0.466;0.75;0;2.983;61.5;Yes;Mission; 
Herman CAP-0 (L);Pistol;Laser;30.0;8;46;4.3;0.106;185;1.956;5.00;0;2.843;54.3;Yes;Crafted; 
Herman CAP-4 Desert (L);Pistol;Laser;35.0;14;49;7.9;0.220;316;3.380;20.00;0;2.879;57.0;Yes;Crafted; 
Herman CAP-7 Arctic (L);Pistol;Laser;30.0;25;46;13.3;0.363;570;6.063;35.00;120.00%;2.866;56.0;Yes;Crafted; 
Herman CAP-7 Arctic MK.I (L);Pistol;Laser;30.0;25;46;13.3;0;570;0;35.00;0;0;56.0;Yes;A.N.U.B.I.S.;Increased Critical Damage 10%
Herman CAP-7 Desert (L);Pistol;Laser;35.0;25;46;13.3;0.372;570;6.072;30.00;0;2.861;55.7;Yes;Crafted; 
Herman CAP-7 Desert MK.I (L);Pistol;Laser;35.0;25;46;13.3;0;570;0;30.00;0;0;55.7;Yes;A.N.U.B.I.S.;Skill Gain - Laser Weapons 10%
Herman CAP-7 Jungle (L);Pistol;Laser;25.0;20;54;12.5;0.365;450;4.865;40.00;120.00%;2.857;55.4;Yes;Crafted; 
Herman CAP-7 Jungle MK.I (L);Pistol;Laser;25.0;20;54;12.5;0;450;0;40.00;0;0;55.4;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman CAP-10 Smuggler;Pistol;Laser;33.0;24;51;14.2;0.528;540;5.928;590.00;115.00 PED;2.814;52.3;Yes;Looted; 
Herman CAP-12 (L);Pistol;Laser;30.0;35;47;19.1;0.694;780;8.494;60.00;0;2.864;55.9;Yes;Crafted; 
Herman CAP-20 Desert (L);Pistol;Laser;35.0;52;47;28.3;0.954;1165;12.604;85.00;118.00%;2.867;56.1;Yes;Crafted; 
Herman CAP-20 Desert MK.I (L);Pistol;Laser;35.0;52;47;28.3;0;1165;0;85.00;0;0;56.1;Yes;A.N.U.B.I.S.;Skill Gain - Laser Weapons 10%
Herman CAP-20 Smuggler;Pistol;Laser;33.0;49;51;28.9;1.184;1090;12.084;1500.00;0;2.818;52.6;Yes;Looted; 
Herman CAP-21 Jungle (L);Pistol;Laser;25.0;46;56;29.8;0.974;1020;11.174;100.00;118.00%;2.861;55.7;Yes;Crafted, Looted; 
Herman CAP-21 Jungle MK.I (L);Pistol;Laser;25.0;46;56;29.8;0;1020;0;100.00;0;0;55.7;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman CAP-22 Arctic (L);Pistol;Laser;30.0;54;47;29.4;0.929;1215;13.079;90.00;115.00%;2.869;56.3;Yes;Crafted, Looted; 
Herman CAP-22 Arctic MK.I (L);Pistol;Laser;30.0;54;47;29.4;0;1215;0;90.00;0;0;56.3;Yes;A.N.U.B.I.S.;Increased Critical Damage 10%
Herman CAP-25 (L);Pistol;Laser;30.0;58;48;32.2;1.190;1280;13.990;110.00;128.00%;2.881;56.2;Yes;Crafted, Looted; 
Herman CAP-28 Arctic (L);Pistol;Laser;33.0;62;48;34.5;1.290;1364;14.930;120.00;0;2.886;0;Yes;Crafted; 
Herman CAP-30 Smuggler;Pistol;Laser;33.0;64;52;38.5;1.863;1390;15.763;2800.00;0;2.822;52.8;Yes;Looted; 
Herman CAP-32 Desert (L);Pistol;Laser;35.0;69;48;38.4;1.566;1515;16.716;135.00;121.00%;2.869;56.2;Yes;Crafted, Looted; 
Herman CAP-33 Arctic (L);Pistol;Laser;30.0;70;48;38.9;1.547;1540;16.947;145.00;124.78%;2.871;56.4;Yes;Crafted, Looted; 
Herman CAP-34 Jungle (L);Pistol;Laser;25.0;61;57;40.3;1.583;1320;14.783;150.00;118.00%;2.868;56.2;Yes;Crafted, Looted; 
Herman CAP-34 Jungle MK.I (L);Pistol;Laser;25.0;61;57;40.3;0;1320;0;150.00;0;0;56.2;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman CAP-35 (L);Pistol;Laser;30.0;58;48;32.2;1.256;1280;14.056;110.00;124.00%;2.868;0;Yes;Crafted, Looted; 
Herman CAP-37 (L);Pistol;Laser;30.0;74;50;42.9;1.876;1605;17.926;165.00;143.00%;2.869;56.2;Yes;Crafted, Looted; 
Herman CAP-40 Desert (L);Pistol;Laser;32.0;77;50;44.6;1.600;1695;18.550;175.00;0;2.885;0;Yes;Crafted; 
Herman CAP-40 Smuggler;Pistol;Laser;33.0;75;54;46.9;2.449;1600;18.449;4500.00;0;2.825;53.1;Yes;Looted; 
Herman CAP-43 Desert (L);Pistol;Laser;35.0;81;50;46.9;2.126;1745;19.576;185.00;0;2.876;56.7;Yes;Crafted, Looted; 
Herman CAP-44 Arctic (L);Pistol;Laser;30.0;83;50;48.1;2.110;1795;20.060;195.00;124.00%;2.876;56.7;Yes;Crafted, Looted; 
Herman CAP-45 Jungle (L);Pistol;Laser;25.0;72;58;48.4;2.152;1525;17.402;200.00;0;2.876;56.7;Yes;Crafted, Looted; 
Herman CAP-48 (L);Pistol;Laser;30.0;83;52;50.0;1.730;1830;20.030;205.00;0;2.880;57.0;Yes;Crafted; 
Herman CAP-50 Smuggler;Pistol;Laser;33.0;95;54;59.4;3.146;2020;23.346;6600.00;0;2.828;53.3;Yes;Looted; 
Herman CAP-52 (L);Pistol;Laser;0;88;52;53.0;1.850;1950;21.350;210.00;0;2.865;55.9;Yes;Crafted; 
Herman CAP-56 (L);Pistol;Laser;30.0;94;51;55.5;2.437;2030;22.737;220.00;0;2.873;56.6;Yes;Crafted, Looted; 
Herman CAP-62 Desert (L);Pistol;Laser;35.0;100;51;59.1;2.743;2135;24.093;240.00;0;2.885;57.4;Yes;Crafted, Looted; 
Herman CAP-64 Jungle (L);Pistol;Laser;25.0;88;59;60.1;2.772;1845;21.222;255.00;0;2.882;57.2;Yes;Crafted, Looted; 
Herman CAP-65 Arctic (L);Pistol;Laser;30.0;103;51;60.8;2.738;2205;24.788;245.00;0;2.888;57.6;Yes;Crafted; 
Herman CAP-R;Pistol;Laser;33.0;6;67;4.7;0.100;140;1.500;4.00;0;2.780;49.9;Yes;Old Time Arkadia TT; 
Herman CAP-TT (L);Pistol;Laser;26.4;5;70;4.1;0.020;118;1.200;3.00;0;2.896;58.2;Yes;Arkadia TT; 
Herman LAW-0 (L);Carbine;Laser;55.0;12;36;5.0;0.040;290;2.940;3.00;0;2.837;53.9;Yes;Crafted, Looted; 
Herman LAW-5 Arctic (L);Carbine;Laser;55.0;25;36;10.4;0.823;525;6.073;80.00;0;2.861;55.7;Yes;Crafted, Looted; 
Herman LAW-5 Arctic MK.I (L);Carbine;Laser;55.0;25;36;10.4;0;525;0;80.00;0;0;55.7;Yes;A.N.U.B.I.S.;Increased Critical Damage 10%
Herman LAW-5 Desert (L);Carbine;Laser;65.0;24;36;10.0;0.783;505;5.833;60.00;107.68%;2.860;55.6;Yes;Crafted, Looted; 
Herman LAW-5 Desert MK.I (L);Carbine;Laser;65.0;24;36;10.0;0;505;0;60.00;0;0;55.6;Yes;A.N.U.B.I.S.;Skill Gain - Laser Weapons 10%
Herman LAW-6 Jungle (L);Carbine;Laser;45.0;21;44;10.7;0.901;420;5.101;90.00;150.00%;2.861;55.7;Yes;Crafted, Looted; 
Herman LAW-6 Jungle MK.I (L);Carbine;Laser;45.0;21;44;10.7;0;420;0;90.00;0;0;55.7;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman LAW-10 (L);Carbine;Laser;60.5;34;42;16.5;0.700;745;8.150;100.00;120.00%;2.899;0;Yes;Crafted; 
Herman LAW-10 Smuggler;Carbine;Laser;60.0;22;40;10.2;0.902;455;5.452;400.00;0;2.804;51.6;Yes;Looted; 
Herman LAW-13 (L);Carbine;Laser;55.0;48;37;20.6;1.367;1030;11.667;115.00;128.00%;2.859;55.5;Yes;Crafted, Looted; 
Herman LAW-16 Arctic (L);Carbine;Laser;60.5;57;37;24.4;0;1255;0;150.00;0;0;57.1;Yes;Crafted; 
Herman LAW-20 Smuggler;Carbine;Laser;60.0;62;41;29.4;2.544;1280;15.344;1200.00;7500.00 PED;2.808;51.9;Yes;Looted; 
Herman LAW-21 Desert (L);Carbine;Laser;65.0;67;37;28.7;2.152;1410;16.252;170.00;0;2.865;56.0;Yes;Crafted, Looted; 
Herman LAW-21 Desert MK.I (L);Rifle;Laser;65.0;67;37;28.7;0;1410;0;170.00;0;0;56.0;Yes;A.N.U.B.I.S.;Skill Gain - Laser Weapons 10%
Herman LAW-22 Arctic (L);Carbine;Laser;55.0;70;37;30.0;2.278;1470;16.978;200.00;0;2.865;56.0;Yes;Crafted, Looted; 
Herman LAW-22 Arctic MK.I (L);Rifle;Laser;55.0;70;37;30.0;0;1470;0;200.00;0;0;56.0;Yes;A.N.U.B.I.S.;Increased Critical Damage 10%
Herman LAW-23 Jungle (L);Carbine;Laser;45.0;59;45;30.8;2.368;1195;14.318;220.00;185.00%;2.864;55.9;Yes;Crafted, Looted; 
Herman LAW-23 Jungle MK.I (L);Rifle;Laser;45.0;59;45;30.8;0;1195;0;220.00;0;0;55.9;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman LAW-27 (L);Carbine;Laser;55.0;78;38;34.3;2.675;1625;18.925;215.00;121.71%;2.864;55.9;Yes;Crafted, Looted; 
Herman LAW-30 Smuggler;Carbine;Laser;60.0;85;42;41.4;3.757;1725;21.007;2400.00;0;2.812;52.2;Yes;Looted; 
Herman LAW-32 (L);Carbine;Laser;55.0;78;0;0;1.600;1705;18.650;220.00;0;2.907;0;Yes;Crafted; 
Herman LAW-37 Arctic (L);Carbine;Laser;60.5;89;40;41.2;0;1960;0;245.00;0;0;0;Yes;Crafted; 
Herman LAW-40 Smuggler;Carbine;Laser;60.0;101;43;50.3;4.681;2025;24.931;4000.00;43000.00 PED;2.816;52.4;Yes;Event; 
Herman LAW-42 Desert (L);Carbine;Laser;65.0;91;38;40.1;3.345;1870;22.045;260.00;107.00%;2.869;56.2;Yes;Crafted, Looted; 
Herman LAW-42 Desert MK.I (L);Rifle;Laser;65.0;91;38;40.1;0;1870;0;260.00;0;0;56.2;Yes;A.N.U.B.I.S.;Skill Gain - Laser Weapons 10%
Herman LAW-44 Arctic (L);Carbine;Laser;55.0;95;38;41.8;3.417;1960;23.017;290.00;0;2.869;56.2;Yes;Crafted, Looted; 
Herman LAW-46 Jungle (L);Carbine;Laser;45.0;80;46;42.6;3.486;1590;19.386;310.00;0;2.868;56.2;Yes;Crafted, Looted; 
Herman LAW-46 Jungle MK.I (L);Rifle;Laser;45.0;80;46;42.6;0;1590;0;310.00;0;0;56.2;Yes;A.N.U.B.I.S.;Focused Blow +1.0%
Herman LAW-50 (L);Carbine;Laser;55.0;100;39;45.2;3.731;2050;24.231;315.00;115.00%;2.868;56.2;Yes;Crafted, Looted; 
Herman LAW-50 Smuggler;Carbine;Laser;60.0;117;44;59.6;5.638;2320;28.838;6000.00;0;2.820;0;Yes;Event; 
Herman LAW-51 Jungle (L);Carbine;Laser;55.0;100;40;46.3;2.000;2210;24.100;330.00;0;2.884;0;Yes;Crafted; 
Herman LAW-56 Desert (L);Carbine;Laser;65.0;109;39;49.2;4.122;2225;26.372;340.00;150.00%;2.873;56.5;Yes;Crafted, Looted; 
Herman LAW-58 Arctic (L);Carbine;Laser;55.0;114;39;51.5;4.323;2325;27.573;370.00;0;2.873;56.6;Yes;Crafted, Looted; 
Herman LAW-60 Jungle (L);Carbine;Laser;45.0;96;47;52.3;4.375;1885;23.225;390.00;0;2.873;56.5;Yes;Crafted, Looted; 
Herman LAW-66 (L);Carbine;Laser;55.0;120;40;55.6;4.730;2430;29.030;415.00;0;2.873;56.5;Yes;Crafted, Looted; 
Herman LAW-71 Desert (L);Carbine;Laser;65.0;126;40;58.4;4.993;2545;30.443;410.00;150.00%;2.877;56.8;Yes;Crafted; 
Herman LAW-75 Arctic (L);Carbine;Laser;55.0;132;40;61.2;5.234;2665;31.884;440.00;0;2.877;56.9;Yes;Crafted, Looted; 
Herman LAW-77 Jungle (L);Carbine;Laser;45.0;112;48;62.3;5.361;2170;27.061;460.00;0;2.876;56.8;Yes;Crafted; 
Herman LAW-R;Carbine;Laser;49.5;8;40;3.7;0.100;190;2.000;2.50;300.00 PED;2.780;49.9;Yes;Old Time Arkadia TT; 
Herman LAW Trainer (L);Carbine;Laser;55.0;3;36;1.3;0;24;0;2.00;0;0;53.9;Yes;Mission; 
Herman LAW Trainer MkI (L);Rifle;Laser;55.0;3;36;1.3;0.452;26;0.712;1.00;0;2.928;61.6;Yes;Mission; 
Herman LAW-TT (L);Carbine;Laser;39.6;7;44;3.6;0.030;166;1.690;4.00;0.00%;2.879;57.0;Yes;Arkadia TT; 
Herman PF-TT (L);Melee;Power Fist;3.0;5;80;4.6;1.202;0;1.202;10.00;100.00%;2.891;57.9;Yes;Arkadia TT; 
Herman RAW-101;Carbine;Laser;93.5;67;26;20.2;1.639;1505;16.689;100.00;0;2.790;50.6;Yes;Looted; 
Herman RAW-202;Carbine;Laser;96.8;81;24;22.5;2.055;1815;20.205;120.00;0;2.786;50.3;Yes;Looted; 
Herman RAW-202 Smuggler;Carbine;Laser;96.8;78;28;25.3;2.352;1650;18.852;700.00;0;2.876;56.7;Yes;Looted; 
Herman RAW-303;Carbine;Laser;100.1;100;22;25.5;2.632;2235;24.982;140.00;0;2.782;50.0;Yes;Looted; 
Herman RAW-303 Smuggler;Carbine;Laser;100.1;100;26;30.1;3.277;2090;24.177;1500.00;0;2.875;56.7;Yes;0; 
Herman RAW-404;Carbine;Laser;103.4;118;20;27.3;3.119;2640;29.519;160.00;3800.00 PED;2.778;49.8;Yes;Looted; 
Herman RAW-404 Smuggler;Carbine;Laser;103.4;126;24;35.0;4.422;2605;30.472;2700.00;0;2.874;56.6;Yes;0; 
Herman RAW-505;Carbine;Laser;106.7;145;18;30.2;3.928;3240;36.328;180.00;0;2.774;49.5;Yes;Looted; 
Herman RAW-505 Smuggler;Carbine;Laser;106.7;158;22;40.3;6.442;3175;38.192;4300.00;0;2.875;56.7;Yes;0; 
Herman SIR-10;Rifle;BLP;92.4;58;30;20.2;1.948;1250;14.448;120.00;0;2.790;50.6;Yes;Looted; 
Herman SIR-10 Smuggler;Rifle;BLP;92.4;50;34;19.7;2.760;933;12.090;500.00;0;2.874;56.6;Yes;Looted; 
Herman SIR-20;Rifle;BLP;96.8;70;28;22.7;2.410;1510;17.510;140.00;0;2.778;50.3;Yes;Looted; 
Herman SIR-20 Smuggler;Rifle;BLP;96.8;67;32;24.8;3.057;1315;16.207;900.00;0;2.873;56.5;Yes;Looted; 
Herman SIR-30;Rifle;BLP;101.2;84;26;25.3;2.933;1805;20.983;160.00;3600.00 PED;2.782;50.1;Yes;Looted; 
Herman SIR-30 Smuggler;Rifle;BLP;101.2;87;30;30.2;3.731;1730;21.031;1700.00;0;2.875;56.7;Yes;Looted; 
Herman SIR-40;Rifle;BLP;105.6;100;24;27.8;3.521;2150;25.021;180.00;6500.00 PED;2.778;49.7;Yes;Looted; 
Herman SIR-40 Smuggler;Rifle;BLP;105.6;108;28;35.0;4.800;2130;26.100;2900.00;0;2.876;0;Yes;0; 
Herman SIR-50;Rifle;BLP;108.9;120;22;30.6;4.318;2575;30.068;200.00;0;2.774;49.5;Yes;Looted; 
Herman SIR-50 Smuggler;Rifle;BLP;108.9;134;26;40.4;6.800;2560;32.400;4500.00;0;2.874;0;Yes;0; 
Herman XBR-1 Chulan Edition;Rifle;BLP;150.0;90;17;17.7;5.493;1656;22.053;225.00;0;2.836;53.6;No;Looted; 
Herman XBR-2 Chulan Edition;Rifle;BLP;135.5;81;38;35.7;4.890;1466;19.550;250.00;0;2.880;57.0;No;Looted; 
Herman XLR Chulan Edition;Carbine;Laser;150.0;129;23;34.4;7.320;2193;29.250;350.00;0;3.065;71.5;No;Looted; 
Herman XP-1 Scanthi Edition;Pistol;BLP;49.5;67;86;66.7;0.300;1500;15.300;500.00;0;3.043;69.7;No;Looted; 
Hero's Sword;Melee;Longblades;7.0;49;56;31.8;11.558;0;11.558;102.00;900.00 PED;2.946;62.1;Yes;Crafted; 
Hilqa Knife B-100 (L);Melee;Shortblades;5.0;5;78;4.5;1.200;0;1.200;9.00;0;2.896;58.2;Yes;TT; 
Hilqa Knife M1 (L);Melee;Shortblades;4.0;7;61;4.9;1.673;0;1.673;11.00;0.00%;2.908;59.1;Yes;Looted; 
Hilqa Knife M2 (L);Melee;Shortblades;4.0;8;61;5.7;1.922;0;1.922;16.00;120.00%;2.893;59.1;Yes;Looted; 
Hilqa Knife M3 (L);Melee;Shortblades;4.0;11;61;7.8;2.629;0;2.629;22.00;109.00%;2.908;59.1;Yes;Looted; 
Hilqa Knife M4 (L);Melee;Shortblades;4.0;13;61;9.2;3.107;0;3.107;32.00;0;2.908;59.1;Yes;Looted; 
HK Series S-43 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
HK Series S-50 (L);Rifle;BLP;64.9;83;53;51.0;3.368;1650;19.868;310.00;0;2.903;58.8;Yes;Looted, Crafted; 
HK Series S-54 (L);Rifle;BLP;66.0;87;53;53.4;3.935;1710;21.035;320.00;0;2.874;56.6;Yes;Looted, Crafted; 
HK Series S-57 (L);Rifle;BLP;67.1;90;53;55.3;4.060;1770;21.760;330.00;0;2.875;56.6;Yes;Looted; 
HK Series S-62 (L);Rifle;BLP;68.2;95;53;58.3;4.168;1880;22.968;340.00;0;2.875;56.7;Yes;Looted; 
Hojoom G1 (L);Pistol;Laser;14.5;3;56;1.9;0.058;66;0.718;4.00;0.00%;2.904;58.8;Yes;Looted; 
Hojoom G2 (L);Pistol;Laser;22.0;5;56;3.2;0.066;113;1.196;4.40;0;2.906;58.9;Yes;Crafted; 
Hojoom G4 (L);Pistol;Laser;26.4;9;56;5.8;0;200;0;10.00;0;0;59.0;Yes;Crafted; 
Hojoom G5 (L);Pistol;Laser;0;0;0;0;0;0;0;0;0;0;0;Yes;Looted; 
Hojoom G6 (L);Pistol;Laser;0;0;0;0;0;0;0;0;0;0;0;Yes;Looted; 
Hojoom G7 (L);Pistol;Laser;28.6;20;68;15.8;0;436;0;38.00;0;0;57.0;Yes;Looted; 
Hojoom H-1 (L);Pistol;Laser;26.4;5;70;4.1;0.020;118;1.200;3.00;0;2.896;58.2;Yes;TT; 
Holly ECO P14 (L);Pistol;BLP;38.5;32;60;22.2;0;699;0;120.00;0;0;0;Yes;Crafted; 
Holly ECO P18 (L);Pistol;BLP;38.5;38;60;26.4;0.923;830;9.223;150.00;0;2.863;0;Yes;Crafted; 
Holly ECO P22 (L);Pistol;BLP;38.5;43;61;30.4;0;939;0;175.00;0;0;55.8;Yes;Crafted; 
Holly ECO P26 (L);Pistol;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO P30 (L);Pistol;BLP;39.6;53;61;37.4;0;1158;0;250.00;0;0;55.8;Yes;Crafted; 
Holly ECO P35 (L);Pistol;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO P41 (L);Pistol;BLP;0;68;58;45.7;1.655;1485;16.505;310.00;0;2.863;0;Yes;Crafted; 
Holly ECO P48 (L);Pistol;BLP;0;72;60;50.0;0;1573;0;380.00;0;0;0;Yes;Crafted; 
Holly ECO P56 (L);Pistol;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO P64 (L);Pistol;BLP;41.8;85;61;60.1;2.061;1857;20.631;450.00;0;2.863;55.8;Yes;Crafted; 
Holly ECO P72 (L);Pistol;BLP;41.8;93;60;64.6;0;2032;0;500.00;0;0;55.8;Yes;Crafted; 
Holly ECO P80 (L);Pistol;BLP;51.8;99;60;68.8;0;2163;0;525.00;0;0;55.8;Yes;Crafted; 
Holly ECO R14 (L);Rifle;BLP;71.5;42;44;21.4;1.014;918;10.194;120.00;135.00%;2.863;0;Yes;Crafted; 
Holly ECO R18 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO R22 (L);Rifle;BLP;72.6;59;44;30.1;1.430;1289;14.320;175.00;0;2.863;55.8;Yes;Crafted; 
Holly ECO R26 (L);Rifle;BLP;72.6;66;44;33.6;1.600;1440;16.000;200.00;0;2.867;0;Yes;Crafted; 
Holly ECO R30 (L);Rifle;BLP;73.7;72;44;36.7;0;1573;0;250.00;0;0;55.8;Yes;Crafted; 
Holly ECO R35 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO R41 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO R48 (L);Rifle;BLP;0;98;44;49.9;2.376;2141;23.786;380.00;0;2.863;0;Yes;Looted; 
Holly ECO R56 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO R64 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO R72 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Holly ECO R80 (L);Rifle;BLP;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Ice Blue Star Stunna (L);Rifle;BLP;22.0;22;83;21.2;0;429;0;25.00;0;0;57.8;Yes;Token Trader;Deceleration 100% duration 0.2s
Ice Blue Sticky Laucher (L);Support;Grenade;131.9;35;37;15.0;0;742;0;25.00;0;0;57.7;Yes;Token Trader;26% Deceleration on hit
Ice Blue Turrelion Spec Flamebather (L);Flamethrower;BLP;16.5;44;83;42.3;0;958;0;25.00;0;0;57.8;Yes;Token Trader;Burn 65% of Damage 3.0sec
Ice Blue Xent Tech Freeze Ray (L);Rifle;BLP;71.5;58;22;14.8;0;1295;0;25.00;0;0;57.8;Yes;Token Trader;40% Deceleration on hit 4.0sec
Ice Club IX (L);Melee;Clubs;6.0;29;51;17.1;0;0;0;77.00;0;0;56.8;Yes;Looted; 
Ice Club VI (L);Melee;Clubs;6.0;8;51;4.7;0;0;0;41.00;0;0;56.8;Yes;Looted; 
Ice Club VII (L);Melee;Clubs;6.0;12;51;7.1;0;0;0;47.00;0;0;56.7;Yes;0; 
Ice Club VIII (L);Melee;Clubs;6.0;23;51;13.6;0;0;0;56.00;0;0;0;Yes;Looted; 
Ice Dagger II (L);Melee;Shortblades;6.0;21;51;12.4;5.074;0;5.074;22.00;0;2.876;56.7;Yes;Looted; 
Ice Dagger III (L);Melee;Shortblades;6.0;26;52;15.7;0;0;0;42.00;0;0;56.8;Yes;Looted; 
Ice Dagger IX (L);Melee;Shortblades;6.0;56;59;38.3;13.533;0;13.533;198.00;0;2.876;0;Yes;Looted; 
Ice Dagger VI (L);Melee;Shortblades;6.0;41;56;26.6;0;0;0;89.00;0.00%;0;56.8;Yes;Looted; 
Ice Dagger VII (L);Melee;Shortblades;6.0;46;57;30.4;11.167;0;11.167;111.00;0;2.863;0;Yes;Looted; 
Ice Dagger VIII (L);Melee;Shortblades;6.0;51;58;34.3;0;0;0;154.00;0;0;0;Yes;Looted; 
Ice Dagger X (L);Melee;Shortblades;6.0;61;61;43.1;0;0;0;333.00;0;0;0;Yes;Looted; 
Ice-ir;Carbine;Laser;55.0;39;36;16.3;1.000;900;10.000;110.00;0;2.711;40.2;No;Crafted; 
Icy HK (L);Rifle;Laser;61.6;62;61;43.8;0;1370;0;100.00;0;0;53.1;Yes;Looted; 
Ignite Chip 1 (L);Mindforce;Pyro;41.8;100;5;5.8;3.921;2040;24.321;24.00;0;2.858;0;Yes;Beacon; 
Ignite Chip 2 (L);Mindforce;Pyro;44.0;200;5;11.6;6.860;4170;48.560;34.00;0;2.862;0;Yes;Beacon; 
Ignite Chip 3 (L);Mindforce;Pyro;46.2;300;5;17.4;0;6200;0;44.00;0;0;0;Yes;Looted; 
Ignite Chip 4 (L);Mindforce;Pyro;48.4;400;5;23.2;13.231;8330;96.531;54.00;0;2.880;0;Yes;Beacon; 
