Name,Value
Vedacore Texture,0.75
Veda Ingot,0.18
Veda Stones,0.06
Veda Texture,0.24
Vegatation Spores,0.4
Velvet Fabric Texture,0.1
Vesperdite Ingot,5.4
Vesperdite Ore,1.8
Vibrant Sweat,0.00001
Vibrant Sweat Crate,0
Vincent DPS P32 Death Vinyl,0.01
Vincent DPS P43 Death Vinyl,0
Vincent DPS P58 Death Vinyl,0
Vixen Android Audio Unit,0.1
Vixen Android Audio Unit Modified,0.2
Vixen Android Bronze Armor Plating,0.06
Vixen Android CPU Memory Unit,1
Vixen Android CPU Memory Unit Modified,1.2
Vixen Android Data Uplink Cable,0.03
Vixen Android Defense Microchip,0.15
Vixen Android F-0-X Drive,0.01
Vixen Android First Aid Microchip,0.35
Vixen Android Gear,0.01
Vixen Android Gear Modified,1
Vixen Android Gold Armor Plating,1
Vixen Android Golden Arm,2
Vixen Android Golden Heart,5
Vixen Android Golden Leg,7
Vixen Android GPS V.D.U,10
Vixen Android H-0-T Drive,1
Vixen Android Healthbar V.D.U,1
Vixen Android Intelligence Microchip,0.55
Vixen Android Metal Armor Plating,0.02
Vixen Android Night Scope V.D.U,0.1
Vixen Android Oil Filter,0.12
Vixen Android Power Cell,0.22
Vixen Android Power Cell Modified,16
Vixen Android Power Transfer Cable,2
Vixen Android S-E-X Drive,15
Vixen Android Thermal Tank V.D.U,0.01
Vixen Android Visual Optics Unit,0.65
Vixen Android Visual Optics Unit Modified,30
Vixen Android Vocal Unit,30
Vixen Android Vocal Unit Modified,130
Vixen Android Weapons Guidance V.D.U,5
Vixen Bushweed,0.001
Vixen Hemp Cloth,0
Vorn Pellets,0.2
Vorn Plastic,0.4
Warm THING Blood,1
Warren's Claw,1.6
Water Essence,1
Weak Calcium Compound,0.06
Weak Cloth Extractor,0.01
Weakened Power Crystal,100
Weak Magnets,0.12
Weak Protein Strain,0.41
Weak Sinew,10
Weapon Cells,0.0001
Weld Filament,0.05
Welding Wire,0.0001
Wenrex Ingot,0.51
Wenrex Stones,0.17
Wenrex Texture,0.2
Werewolf Blood,0.4
Werewolf Bone,0
Werewolf Claw,0.1
Werewolf Eye,0.6
Werewolf Fangs,0.6
Wetski Fiberglass,0.01
Wetski Gas Cap,0
Whiskey Sour Cocktail,0.15
Whiskey Sour Cocktail Mix,0.075
Multi-Fang Mutant Skull,6.5
Muscovite Crystal,0.06
Mutant DNA Strand,0.02
Mutated Aurli Bone Piece,1
Mutated Halloween Pumpkin (Mission),0
Mutation Agent,50
Nahar Mist Texture,0.04
Nanocube,0.01
Narcanisum Ingot,0.24
Narcanisum Stone,0.08
Narcanisum Texture,0.28
Navi Hide,0.5
Navi Leather,1.5
Navi Leather Texture,0.38
Nawa Drops,0.01
Nawa Vial,0.02
Neconu  DNA Samples,25.78
Neconu Hair,0.98
Neconu Jaw,6.7
Neconu Teeth,0.09
Neomex Slime,0.1
Nepotism Potion,0.17
NEVERDIE Dragon Leather,1
NEVERDIE Dragon Texture,0
NEVERDIE - GAMER CHICK HIT SINGLE,0.01
NEVERDIE Hide,0
NEVERDIE - NEVERDIE SINGLE,0.1
Nexnecis Hide,0.66
Nexnecis Leather,1.98
Nexnecis Leather Texture,1.55
Niksarium Ingot,1.95
Niksarium Stone,0.65
Niksarium Texture,0.85
Nirvana Cocktail,0.04
Nirvana Cocktail Mix,0.02
Nissit,0.00001
Nissit Stone Texture,0.02
Nosifer Stone,0.08
Nosi Ingot,0.24
Nosi Texture,0.16
Novaculite Crystal,0.02
Nova Fragment,0.00001
Nuclear Blast Launch Codes,0.1
Nuclear Bushweed,0.001
Nuclear Hemp Cloth,0
Nusul DNA Cartridge,0
Nusul Ear,0.2
Nusul Flesh,1
Nusul Foot,2
Nusul Hide,0.15
Nusul Leather,0.45
Nusul Leather Texture,0.11
Nusul Nose,3
Nusul Tail,1
Nutrio Bar,0.01
Obsidian Crystal,0.05
Oculus Leather,0.93
Oculus Leather Texture,0.94
Oculus Skin,0.31
Oil,0.00
Oiled Arkace Boards,0.3
Oiled Corria Boards,0.5
Oiled Hekia Boards,0.4
Oiled Miluca Boards,0.2
Okenite Crystal,0.03
Old Bus Token,0.01
Old Subway Token,0.01
Olerin Ingot,0.21
Olerin Stone,0.07
Omegaton A100 Series Parts,1
Omegaton Decoy,0.25
Omegaton Seismic Bomb,1
Onyx,0.04
Oompa Hide,0.25
Oompa Leather,0.75
Oompa Leather Texture,0.18
Oompa Warhound Hide,0.5
Oompa Warhound Leather,1.5
Oompa Warhound Leather Texture,0.38
Opal,200
Opal Crystal,0.02
Opal Texture,15
Open Source Code,0.25
Optimism Potion,0.3
Orange Crystal,0.07
Orange Crystal Texture,0.12
O Rings,0.02
Oro Brain,3
Oro Cranial Blade,1
Oro DNA Cartridge,0
Oro Flesh,2
Oro Forearm,1
Oro Hide,0.1
Oro Leather,0.3
Oro Leather Texture,0.07
Oro Skull,0.03
Oro Tail,2
Ospra Ingot,0.06
Ospra Stones,0.02
Ospra Texture,0.2
Ostelok Craw,1
Ostelok DNA Cartridge,0
Ostelok Foot,1
Ostelok Hide,0.04
Ostelok Leather,0.12
Ostelok Leather Texture,0.04
Ostelok Lower Beak,0.4
Ostelok Pommel,2
Ostelok Pommel Feather,0.45
Ostelok Upper Beak,0
Otorugi Brain,10
Otorugi DNA Cartridge,0
Otorugi Eye,2
Otorugi Foot,1
Otorugi Hide,0.8
Otorugi Leather,2.4
Otorugi Leather Texture,0.6
Otorugi Nail,2.8
Otorugi Shoulder Horn,0.24
Otorugi Spine,4
Output Amplifier Component,0.4
Outstanding Calcium Compound,0.12
Oweko Brain,0
Oweko Cranial Blade,2.2
Oweko DNA Cartridge,0
Oweko Flesh,3
Oweko Forearm,2
Oweko Hide,0.5
Oweko Leather,1.5
Oweko Leather Texture,0.36
Oweko Skull,0.24
Oweko Tail,3
Oxidized Aluminium Texture,0.37
Oxidized Iron Texture,0.43
Oxidized Lysterium Texture,0.31
Ozpyn Filters,0.23
Ozpyn Lever,0.08
Ozpyn Matrix,0.03
P.I.M.P Cup,20
Paint Can (Black),1
Paint Can (Blue),0.05
Paint Can (Brigadier),0.5
Paint Can (Brown),0.07
Paint Can (Burgundy),0.19
Paint Can (Burnt Umber),0.15
Paint Can (Cornsilk),0.24
Paint Can (Crimson),0.42
Paint Can (Dark Blue),0.2
Paint Can (Dark Crimson),2.2
Paint Can (Dark Green),0.09
Paint Can (Dark Lavender),0.21
Paint Can (Dark Mauve),0.27
Paint Can (Dark Purple),0.08
Paint Can (Darkslate Grey),0.75
Paint Can (Dark Steel Blue),0.06
Paint Can (Dark Umber),0.36
Paint Can (Deep Cadmium),0.14
Paint Can (Green),0.07
Paint Can (Light Green),0.09
Paint Can (Mauve),0.11
Paint Can (Navy),0.1
Paint Can (Olive),0.05
Paint Can (Orange),0.01
Paint Can (Pink),0.08
Paint Can (Purple),0.06
Paint Can (Red),0.6
Paint Can (Silver),0.29
Paint Can (Steel Blue),0.06
Paint Can (Turqoise),0.08
Paint Can (Umber),0.13
Paint Can (Violet Cream),0.12
Paint Can (White),0.3
Paint Can (Yellow),0.03
Pandi Hide,0.9
Pandi Leather,2.7
Pandi Leather Texture,0.67
Paneleon Hide,1
Paneleon Leather,3
Paneleon Texture,1.003
Panther Cloth,3
Panther Hide,1
Panther Texture,0.3
Papoo Eye,0.01
Papoo Foot,0.01
Papoo Heart,0.08
Papoo Palm,0.005
Papoo Tail,0.01
Papoo Tooth,0.05
Papplon,0.00001
Papplon Spray,2
Partial Eye Remains,0.24
Part Of Brass Alloy,0.12
Part Of Bronze Alloy,0.1
Part Of Flint Arrow Head,0.08
Part Of Flint  Axe Head,0.06
Part Of Fly Amber,0.1
Part Of Fossil Ammonite,0.02
Part Of Fossil Tooth,0.01
Part Of Mosquito Amber,0.3
Patience Potion,0.5
Pay Stub,0.0001
Pearl Sand,1.92
Pel Crystals,0.5
Pel Liquid,1
Perfect Hide,4.7
Perfect Leather,14.1
Peridot Crystal,0.02
Petalite Crystal,0.01
Petonium Ingot,5.37
Petonium Stone,1.79
Petonium Texture,1.99
Phasm Back Spike,1.5
Phasm Claw,5.2
Phasm Cloth,4.2
Phasm Hide,1.2
Phasm Leather,3.6
Phasm Leather Texture,4.86
Phasm Wool,1.4
Phenacite Crystal,0.02
Pile of Diamonds,0.5
Pile of Emeralds,0.3
Pile Of Garnets,0.15
Pile of Jasper,0.4
Pile of Opals,0.2
Pile Of Rubies,0.4
Pina Colada Cocktail,0.05
Pina Colada Cocktail Mix,0.025
Pirrel Hexaton,0.9
Pirrel Pellets,0.3
Plasma,0.01
Plastic Convector Panel,0.17
Plastic Injection Mold,0.8
Platinum Ingot,9
Platinum Stone,3
Platinum Texture,3.2
Plumatergus DNA Samples,9.88
Plumatergus Large Wing,4.38
Plumatergus Leather,1.05
Plumatergus Leather Texture,0.14
Plumatergus Skin,0.35
Plumatergus Small Wing,0.35
Polished Chrome Texture,0.87
Polished Metal Robot Scrap,1.05
Polish Pirate Flag,3
Poly-Alloy Strap,0.22
Polymer Rail,0.25
Pop Bushweed,0
Pop Claw,0.5
Pop Dragon Leather,0.3
Pop Dragon Texture,0.05
Pop Hemp Cloth,0
Pop Hide,0.1
POPstar Dust,0
Pop Tail,0.1
Potential Cure,0
Powder (Copper),6
Powder (Dark Chestnut),6
Powder (Deep Peach),6
Powder (Pale Pink),6
Powder (Tan),6
Power Regulator,5
Praetonium,0.02
Praetonium Ingot,0.04
Prancer Leather,0.9
Prancer Leather Texture,0.25
Prancer Skin,0.3
Prancer Tail,1
Primordial Longu Claw,28
Primordial Longu DNA Samples,238.5
Primordial Longu Leather,2.25
Primordial Longu Leather Texture,0.83
Primordial Longu Skin,0.75
Primordial Longu Skull,96
Primordial Longu Spike,3.6
Prison Hootch,0.05
Pristine Khada Crystal Shard,1
Projector Housing,1.5
Prokaryotic Cells,0.08
Propellant Booster,2
Propellant Supercharger,1.8
Propulsion Connector,5
Protective Coating,0.04
Proteron Blood Sample,2
Proteron Eyes,1.5
Proteron Neck Bone,2.5
Proteron Ribs,7
Proteron Skin,0.7
Proteron Tooth,1.5
Punk Ingot,0.21
Punk Rock,0.07
Pure Body Oil,0.1
Pure Choroid,0.54
Pure Source Code,0.25
Purified Paneleon Gizzard,10
Purple Crystal,0.08
Purple Crystal Texture,0.13
Purpurite Crystal,0.06
Putty,0.78
Pyrite Ingot,0.6
Pyrite Stone,0.2
Qaffaz Hide,0.02
Qaffaz Leather,0.06
Qaffaz Marrow,0.12
Qaffaz Nail,0.07
Qaffaz Powder,0.14
Qaffaz Tail,0.04
Qaffaz Texture Skin,0.02
Qasdeer Ingot,0.75
Qasdeer Stone,0.25
Qaydar Card Part (Center),0.01
Qaydar Card Part (Left),0.01
Qaydar Card Part (Right),0.01
Qaz Worm,0.06
Quantium Ingot,1.8
Quantium Stone,0.6
Quantium Texture,0.8
Quantum Chip,0.01
Quartz,0.02
Quenta Flux,0.15
Quenta Panel,0.45
Quil Rubber,0.5
Quil Sap,0.25
Rad Conveyor,17
Radiant Khada Crystal Shard,1
Radiator,0.4
Raging Daikiba Bull Blood Sample,50
Rainbow Crystal,0.15
Rainbow Crystal Texture,0.25
Rare Pleak Wing,0
Rare Robot Secret Transmitter,49.62
Rationalizer Component,0.3
Recoil Stabiliser,2.5
Red Cassette,1
Red CD,0.15
Red Molten Crystal,0.5
Red Molten Crystal Texture,0.83
Redulite Ingot,6.6
Redulite Ore,2.2
Refined Actinolite Crystal,0
Refined Adamite Crystal,0.8
Refined Adventurine Crystal,0.15
Refined Aegirine Crystal,0.02
Refined Agate Crystal,0.04
Refined Agrellite Crystal,0.7
Refined Amazonite Crystal,0
Refined Amber Crystal,0.02
Refined Amethyst Crystal,0.02
Refined Ametrine Crystal,0
Refined Ammolite Crystal,0.7
Refined Angelite Crystal,0.1
Refined Anhydrite Crystal,0.04
Refined Apatite Crystal,0.03
Refined Apophyllite Crystal,0.61
Refined Aragonite Crystal,0.01
Refined Atacamite Crystal,0.01
Refined Atlantasite Crystal,0.02
Refined Azeztulite Crystal,0.04
Refined Azurite Crystal,0.03
Refined Barite Crystal,0.07
Refined Beryl Crystal,0.08
Refined Bloodstone Crystal,0.09
Refined Bornite Crystal,0.02
Refined Bronzite Crystal,0.05
Refined Bustamite Crystal,0.03
Refined Cacoxenite Crystal,0.8
Refined Calcedony Crystal,1
Refined Calcite Crystal,0
Refined Cats Eye Crystal,0.04
Refined Celestite Crystal,0.03
Refined Cerussite Crystal,0.04
Refined Charoite Crystal,2
Refined Chiastolite Crystal,0.08
Refined Chlorite Crystal,0.04
Refined Chrysoberyl Crystal,0.04
Refined Chrysocolla Crystal,0
Refined Chrysoprase Crystal,0
Refined Citrine Crystal,0.07
Refined Crocoite Crystal,800
Refined Danburite Crystal,0.01
Refined Epidote Crystal,0.02
Refined Eudialyte Crystal,0.01
Refined Fluorite Crystal,0.03
Refined Halite Crystal,0.05
Refined Hematite Crystal,0.01
Refined Hemimorphite Crystal,0.02
Refined Howlite Crystal,0.05
Refined Hyalite Crystal,0.08
Refined Kunzite Crystal,0.01
Refined Labradorite Crystal,0.06
Refined Lepidocrosite Crystal,0.02
Refined Malachite Crystal,0.04
Refined Moldavite Crystal,0.01
Refined Muscovite Crystal,0.06
Refined Novaculite Crystal,0.02
Refined Obsidian Crystal,0.05
Refined Okenite Crystal,0.03
Refined Opal Crystal,0.02
Refined Peridot Crystal,0.02
Refined Petalite Crystal,0.01
Refined Phenacite Crystal,0.02
Refined Purpurite Crystal,0.06
Refined Quartz Crystal,0.02
Refined Rhodonite Crystal,0.04
Refined Selenite Crystal,0.02
Refined Sodalite Crystal,0.03
Refined Stibnite Crystal,0.06
Refined Tanzanite Crystal,0.01
Refined Thulite Crystal,0.01
Refined Tigers Eye,0.08
Refined Topaz,0.02
Refined Tourmaline Crystal,0.09
Refined Turquoise Crystal,0
Refined Ulexite Crystal,0.06
Refined Vanadinite Crystal,0.06
Refined Wulfenite Crystal,0.09
Refined Youngite Crystal,0.04
Refined Zincite Crystal,0.01
Refined Zoisite Crystal,0.06
Reflecting Agent,0.6
Reflective Coating,0.6
Reggea Ingot,0.24
Reggea Rock,0.08
Regula Lode,0.2
Regula Powder,0.6
Reinforced Bearings,0.203
Reinforced Hinge,0.17
Reinforced Nuts,0.05
Reinforced Plate,0.04
Reinforced Rod,0.067
Reinforced Sheet Metal,0.157
Resonation Amplifier 1,0.02
Resonation Amplifier 2,0.03
Resonation Amplifier 3,0.06
Resonation Amplifier 4,0.07
Resonation Amplifier 5,0.06
Resonation Amplifier 6,0.09
Resonation Amplifier 7,0.15
Resonation Amplifier 8,0.2
Resonation Amplifier 9,0.31
Rextelum Chitin Fragment,4.15
Rextelum Venom Sample,0.21
Rhino Beetle Hide,1
Rhino Beetle Leather,3
Rhino Beetle Texture,1
Rhodonite Crystal,0.04
Ribbed Velvet Fabric Texture,0.06
Riptor DNA Cartridge,0
Riptor Eye,2
Riptor Foot,1
Riptor Heart,0
Riptor Hide,0.5
Riptor Leather,1.5
Riptor Leather Texture,0.38
Riptor Neck Frill,4
Riptor Tail Segment,1.8
Riptor Tongue,0.36
Robot Adapter Module,1.2
Robot Amplifier,40
Robot Auto Adjuster,1.8
Robot Bacterial Memory Unit,42.1
Robot Binary Memory Unit,0.08
Robot Buffers,0.77
Robot Capacitor,18
Robot Casing,1.01
Robot Comlink,101
Robot Component Residue,0.01
Robot Com Unit,7.4
Robot Contraction Unit,13
Robot Converter,70
Robot Cooling Unit,0.1
Robot Coordination Unit,0.15
Robot Data Link,2.3
Robot Dynocyclic Relay,15
Robot Energy Module,30
Robot Energy Source,0.14
Robot Filter,0.036
Robot Flare Filter,4.6
Robot Gyro,13
Robot Gyro Unit,3.1
Robot Heat Sinks,0.08
Robot Hydraulic Pump Unit,50
Robot Hyper Charger,3.9
Robotic Enhancement Gel,0.05
Robot Image Amplifier,5.1
Robot Laser Optics Unit,0.45
Robot Low-Loss Data Link,0.04
Robot Low-Loss Link Cable,0.024
Robot Magnetomic Throttle,15
Robot Movement Processor,28
Robot Nanomodulator,15
Robot Optical Lens,0.89
Robot Optical Processor,0.3
Robot Pneumatic Unit,0.5
Robot Power Amplifier,2.7
Robot Power Generator,80
Robot Power Transformer,21
Robot Quantum Box,45
Robot Radiator,15
Robot Range Finder,5.9
Robot Safety System,0.12
1st Place Miss Entropia 09 Diploma,1
3rd Place WoF 2009 Diploma,1
A.R.C. Faction Badge,0.01
A.R.C. Tier 2 Limited Weapon Voucher,0.01
A.R.C. Tier 3 Limited Weapon Voucher,0.01
A.R.C. Tier 3 Unlimited Weapon Voucher,0.01
Agility Token,0
Alpha Core Card #1,0
Alpha Core Card #2,0
Alpha Core Card #3,0
Alpha Core Card #4,0
Alpha Core Card #5,0
Alpha Core Card #6,0
Alpha Core Card #7,0
Alpha Core Card #8,0
Alpha Core Card #9,0
Alpha Core Card #10,0
Alpha Core Card #11,0
Alpha Core Card #12,0
Alpha Core Card #13,0
Alpha Core Card #14,0
Alpha Core Card #15,0
Alpha Core Card #16,0
Alpha Core Card #17,0
Alpha Core Card #18,0
Alpha Core Card #19,0
Alpha Core Card #20,0
Alpha Core Card #21,0
Alpha Core Card #22,0
Alpha Core Card #23,0
Alpha Core Card #24,0
Alpha Core Card #25,0
Alpha Core Card #26,0
Alpha Core Card #27,0
Alpha Core Card #28,0
Alpha Core Card #29,0
Alpha Core Card #30,0
Alpha Core Card #31,0
Angel Armor FEN Edition Token,363
Arctic Tactical Radio,0.01
Arkadia Moon Deed,0.00001
Arkadia Passport,0
Arkadia Underground Deed,0.00001
Arret Pet,0
Asclarias,0
Asclarias Powercore,0.0001
Atrox Pet,0
Bank License 1,0
Bank License 2,0
Bank License 3,0
Bank License 4,0
Bank License 5,0
Beacon Strongbox 1,0.00001
Blakkshaah Badge,0
Blood of the Gods,0.0001
Book of the Gorgon's Shade,0.0001
Bristlehog Pet,0
Calypso Candy Cane,0.01
Calypso Land Deed,0
Calypso Land Lot Deed Token #1 Crafting,0
Calypso Land Lot Deed Token #1 Hunting,0
Calypso Land Lot Deed Token #1 Mining,0
CDF Report: Operation 'Get-Grid',0
Chirin Dragon Pet,0
Christmas Fireworks,0
Christmas Red flower,0.01
Christmas Strongbox,0.00001
Christmas Yellow flower,0.01
CLUB NEVERDIE GUESTPASS,1
Combat Token,0.01
Combibo Pet,0
Corinthian Kanin Pet,0
Corinthian Silver Kanin Pet,0
Cornundacauda Pet,0
Crystalline Hologram Key,1
Daily Token,0.01
Disassembled Armor Plating Mk. 5B,31
Disassembled Armor Plating Mk. 5B Adjusted,42
Disassembled Armor Plating Mk. 5B Improved,53
Disassembled Armor Plating Mk. 6A,25
Disassembled Armor Plating Mk. 6A Adjusted,36
Disassembled Armor Plating Mk. 6A Improved,47
Dr. Almon Duchev Log Part 1,20
Dr. Almon Duchev Log Part 2,20
Dr. Almon Duchev Log Part 3,20
Dr. Almon Duchev Log Part 4,20
Dr. Almon Duchev Log Part 5,20
Dr. Almon Duchev Log Part 6,20
Dr. Almon Duchev Log Part 7,20
Dr. Almon Duchev Log Part 8,20
Dr. Almon Duchev Log Part 9,20
Dr. Almon Duchev Log Part 10,20
Dr. Almon Duchev Log Part 11,20
Dr. Almon Duchev Log Part 12,20
Dr. Almon Duchev Log Part 13,20
Dr. Almon Duchev Log Part 14,20
Dr. Almon Duchev Log Part 15,20
Dr. Almon Duchev Log Part 16,20
Dr. Almon Duchev Log Part 17,20
Dr. Almon Duchev Log Part 18,20
Dr. Almon Duchev Log Part 19,20
Easter Strongbox,0.00001
ED-5 Grade 1 Key,0
ED-5 Grade 2 Key,0
ED-5 Grade 3 Key,0
Elixir of the Gorgon's Shade,0.0001
Estate Deed,0
Eudorian Devil Pet,0
Eudorian Sapphire Devil Pet,0
Fallen Recruits Dog Tag,0.01
FEN Token Gold,1
FEN Token Platinum,1
FFA Mayhem Star - Dazzling,0.00001
FFA Mayhem Star - Dim,0.00001
FFA Mayhem Star - Gleaming,0.00001
FFA Mayhem Star - Glittering,0.00001
FFA Mayhem Star - Glossy,0.00001
FFA Mayhem Star - Lustrous,0.00001
FFA Mayhem Star - Sparkling,0.00001
Fido,0
Gemstone of the Gorgon's Shade,0.0001
Generic Nano Adjuster,5
Gold Card Codebox only,100
Golden wedding band,80
Grand Christmas Fireworks,0
Grand Halloween Fireworks,0
Green Leprechaun Pet,0
Halloween Fireworks,0
Halloween Strongbox,0.00001
Halloween Torch,0.01
Hangar Deed,0
Hardening Nano Adjuster,1
Hardening Nano Adjuster A01,1
Hardening Nano Adjuster A02,1
Hardening Nano Adjuster A03,1
Imperium Token,0
Infernal Trident,0.01
Intelligence Token,0
Island Gorilla Deed,0
Kitty,0
L.A.R.A.,0
Lai Tung Pai Pet,0
Land Area deed,0
Large Chadriak Mushroom,1
Limited Edition Collector's Coin,230
Lockpick Kit,0.01
Lofven Papoo,0
Mang Chang Pet,0
Mazeweaver Certificate,0
Mcgrangus Lost Log, Entry 1,1
Mcgrangus Lost Log, Entry 2,1
Mcgrangus Lost Log, Entry 3,1
Mcgrangus Lost Log, Entry 4,1
Mcgrangus Lost Log, Entry 5,1
Mcgrangus Lost Log, Entry 6,1
Mcgrangus Lost Log, Entry 7,1
Mcgrangus Lost Log, Entry 8,1
Mcgrangus Lost Log, Entry 9,1
Mcgrangus Lost Log, Entry 10,1
Mcgrangus Lost Log, Entry 11,1
Mcgrangus Lost Log, Entry 12,1
Medal of Heroism,1
Mei Hua Quan Pet,0
Merry Mayhem 2010 Participation Diploma,1
Merry Mayhem 2011 Participation Diploma,0
Mindkey,25
Mining Strongbox 1,0.00001
Mission Token,0
Monria lost chapter 1,0.01
Monria lost chapter 2,0.01
Monria lost chapter 3,0.01
Motorhead Keg,0.01
M Token,0
Mystery Box I,1
Mystery Box III,3
NawaCore MK1,0
NawaCore MK3,0
Neomex Breeder Pheromone Gland,0.01
Neomex Builder Pheromone Gland,0.01
Neomex Chaser Elite Pheromone Gland,0.01
Neomex Hunter Elite Pheromone Gland,0.01
Neomex Ravager Elite Pheromone Gland,0.01
Neomex Strong Elite Pheromone Gland,0.01
Neomex Watcher Elite Pheromone Gland,0.01
Neomex Weaver Pheromone Gland,0.01
Note,1
Nusul Pet,0
Nvidia Box,0
Odenfield Ventricle System,17
Operation Hammerhead Diploma,1
Pandi Pup Pet,0
Paneleon Pet,0
Panther Pet,0
PE Gold Member Smart Card Verification system,200
Personal Manufacturing Terminal,160
Personal Storage Terminal (L),15
Pet Deed,1000
Pet Name Tag,0.00001
Phasing Essence MF01,1
Phasing Nano Adjuster,1
Pheromone Gland,0.1
Piece of Paper,20
Pirate Doubloon,0.01
PM Token,0
Possible Dropship Sensor,0
Project Entropia Cents,0.01
Project Entropia Dollar,1
Psyche Token,0
Qandil,0.55
Reaper's Scythe,0.01
Regenerative Gel,0
Reward Token (Blue),0.00001
Reward Token (Lime Green),0.00001
Reward Token (Orange),0.00001
Reward Token (Red),0.00001
Rhino Bettle Pet,0
Rock Bucks,0.01
ROCKtropia Mobile Phone,1
ROCKtropia Police Badge,0
ROCKtropia Police Radio,0
Rotten Chadriak Mushroom,1
Rover Pet,0
Sapphire Chirin Dragon Pet,0
SHIELD CRATE,0.01
Sjoeblom Winery Chauvignon Crystal,0
Small Chadriak Mushroom,1
Spacecraft Deed,0
Stamina Token,0
Strength Token,0
Strongbox,0.00001
Strongbox Key,10
Summer Strongbox,0.00001
Tabtab Pet,0
The Entropian, Issue 001,210
Tomtebloss,0.01
Tomtebloss Deluxe,0.01
Tomtebloss Superior,0.01
TRC guestpass,0
Treasure Map 1,0.01
Treasure Map 2,0.01
Treasure Map 3,0.01
Treasure Map 4,0.01
Treasure Map 5,0.01
Treasure Map 6,0.01
Treasure Map 7,0.01
Treasure Map 8,0.01
Treasure Map 9,0.01
Treasure Map 10,0.01
Treasure Resource Deed,0
Tuning Nano Adjuster,1
Tuning Nano Adjuster W01,1
Tuning Nano Adjuster W02,1
Tuning Nano Adjuster W03,1
Tuning Nano Adjuster W04,1
Tuning Nano Adjuster W05,1
Unique Green Atrox Queen Egg,0
Valentines Chocolate,0
Vellum,0.0001
Vixen Android Deed,0
Voice Chat Voucher,120
Whiskers,0
Wiretap Device,11
WolperTinger Pet,0
Yau Kung Mun Pet,0
Yellow Heart Fireworks,2
Yellow Star Fireworks,2
Yog Hatchling Pet,0
